report_id,report_slug,report_title,report_data,parameters,generated_at,valid_until
129,my-sports-outdoors-consumer-insights-yearly-796,马来西亚消费者偏好研究报告,"{
  ""summary"": ""根据最新数据分析，MalaysiaSports & Outdoors市场在yearly期间表现强劲。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""爬虫数据"",
  ""average_order_value"": 389,
  ""purchase_frequency"": 1.0,
  ""top_preferences"": [
    ""便捷性"",
    ""品牌忠诚"",
    ""品质优先""
  ],
  ""demographics"": {
    ""age_groups"": [
      ""18-25"",
      ""26-35""
    ],
    ""gender_ratio"": {
      ""male"": 38,
      ""female"": 47
    },
    ""urban_rural"": ""乡村增长""
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""低"",
  ""data_points"": 989162
}","{""country_id"": 4, ""category_id"": 6, ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-01-02 00:39:18,2023-01-10 00:39:18
229,vn-automotive-platform-performance-weekly-173,越南平台市场份额分析,"{
  ""summary"": ""根据最新数据分析，VietnamAutomotive市场在weekly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""key_metrics"": {
    ""GMV"": 18.1,
    ""订单量"": 42.0,
    ""客单价"": 1533,
    ""用户数"": 33.2
  },
  ""growth_comparison"": 12.8,
  ""user_engagement"": {
    ""daily_active_users"": 240346,
    ""session_duration"": 14,
    ""retention_rate"": 70.4
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 239381
}","{""country_id"": 3, ""category_id"": 7, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-01-05 14:54:33,2023-02-05 14:54:33
27,my-health-wellness-logistics-report-monthly-741,马来西亚物流成本分析报告,"{
  ""summary"": ""根据最新数据分析，MalaysiaHealth & Wellness市场在monthly期间表现平稳。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""average_delivery_time"": 6,
  ""delivery_success_rate"": 99.0,
  ""logistics_cost"": 7.0,
  ""top_providers"": [
    ""J&T"",
    ""DHL"",
    ""Local Courier""
  ],
  ""challenges"": [
    ""跨境清关"",
    ""成本控制"",
    ""最后一公里""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""低"",
  ""data_points"": 476671
}","{""country_id"": 4, ""category_id"": 8, ""month"": ""2026-01"", ""report_type"": ""aggregated"", ""data_freshness"": ""daily""}",2023-01-06 11:26:30,2023-02-06 11:26:30
312,la-food-beverages-consumer-insights-quarterly-836,老挝消费者偏好研究报告,"{
  ""summary"": ""根据最新数据分析，LaosFood & Beverages市场在quarterly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""average_order_value"": 920,
  ""purchase_frequency"": 5.7,
  ""top_preferences"": [
    ""品质优先"",
    ""价格敏感"",
    ""便捷性""
  ],
  ""demographics"": {
    ""age_groups"": [
      ""18-25"",
      ""26-35""
    ],
    ""gender_ratio"": {
      ""male"": 45,
      ""female"": 35
    },
    ""urban_rural"": ""城乡均衡""
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 806101
}","{""country_id"": 8, ""category_id"": 5, ""quarter"": ""Q1"", ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-01-08 03:56:21,2023-01-15 03:56:21
113,bn-home-living-platform-performance-yearly-210,文莱平台市场份额分析,"{
  ""summary"": ""根据最新数据分析，BruneiHome & Living市场在yearly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""第三方数据"",
  ""key_metrics"": {
    ""用户数"": 10.2,
    ""客单价"": 3963,
    ""GMV"": 27.4,
    ""订单量"": 45.7
  },
  ""growth_comparison"": 5.1,
  ""user_engagement"": {
    ""daily_active_users"": 138421,
    ""session_duration"": 21,
    ""retention_rate"": 68.1
  },
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""低"",
  ""data_points"": 493256
}","{""country_id"": 10, ""category_id"": 4, ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-01-08 16:59:50,2023-02-06 16:59:50
478,ph-electronics-market-analysis-quarterly-165,菲律宾电子产品市场洞察报告,"{
  ""summary"": ""根据最新数据分析，PhilippinesElectronics市场在quarterly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""爬虫数据"",
  ""market_size"": 610502367,
  ""growth_rate"": 9.1,
  ""top_brands"": [
    ""Sony"",
    ""Vivo"",
    ""LG""
  ],
  ""market_trends"": [
    ""移动端优先"",
    ""线上购物增长"",
    ""便捷支付""
  ],
  ""consumer_segments"": [
    ""年轻消费者"",
    ""中产阶级"",
    ""城市居民"",
    ""跨境消费者""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 50406
}","{""country_id"": 6, ""category_id"": 3, ""quarter"": ""Q1"", ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-01-10 16:52:16,2023-02-08 16:52:16
95,my-sports-outdoors-market-analysis-weekly-167,周报马来西亚运动户外市场表现分析,"{
  ""summary"": ""根据最新数据分析，MalaysiaSports & Outdoors市场在weekly期间表现平稳。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""market_size"": 43922601,
  ""growth_rate"": 21.7,
  ""top_brands"": [
    ""品牌C"",
    ""品牌B"",
    ""品牌A""
  ],
  ""market_trends"": [
    ""跨境电商"",
    ""线上购物增长"",
    ""便捷支付""
  ],
  ""consumer_segments"": [
    ""年轻消费者"",
    ""中产阶级""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 435852
}","{""country_id"": 4, ""category_id"": 6, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-01-11 10:03:41,2023-01-27 10:03:41
55,mm-books-stationery-competitive-analysis-quarterly-285,缅甸图书文具主要玩家分析,"{
  ""summary"": ""根据最新数据分析，MyanmarBooks & Stationery市场在quarterly期间表现稳定。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""用户调研"",
  ""market_share"": {
    ""Local Platforms"": 33.8,
    ""Tokopedia"": 30.4,
    ""Shopee"": 29.7,
    ""Amazon"": 36.9
  },
  ""competitive_advantage"": [
    ""用户基数"",
    ""品牌合作"",
    ""价格优势""
  ],
  ""key_players"": [
    ""公司D"",
    ""公司B"",
    ""公司E"",
    ""公司C""
  ],
  ""competitive_intensity"": ""中"",
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""高"",
  ""data_points"": 478308
}","{""country_id"": 9, ""category_id"": 10, ""quarter"": ""Q1"", ""year"": 2026, ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-01-11 12:49:37,2023-01-18 12:49:37
396,th-home-living-market-analysis-monthly-894,泰国家居生活市场月报分析报告,"{
  ""summary"": ""根据最新数据分析，ThailandHome & Living市场在monthly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""爬虫数据"",
  ""market_size"": 602922355,
  ""growth_rate"": 17.4,
  ""top_brands"": [
    ""IKEA"",
    ""Muji"",
    ""Local Furniture Brands""
  ],
  ""market_trends"": [
    ""便捷支付"",
    ""跨境电商"",
    ""线上购物增长""
  ],
  ""consumer_segments"": [
    ""年轻消费者"",
    ""中产阶级"",
    ""城市居民""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""中"",
  ""data_points"": 546657
}","{""country_id"": 2, ""category_id"": 4, ""month"": ""2026-01"", ""report_type"": ""aggregated"", ""data_freshness"": ""real_time""}",2023-01-16 04:06:05,2023-01-22 04:06:05
108,kh-beauty-cosmetics-logistics-report-weekly-985,柬埔寨物流成本分析报告,"{
  ""summary"": ""根据最新数据分析，CambodiaBeauty & Cosmetics市场在weekly期间表现良好。"",
  ""generated_at"": ""2026-01-10 16:19:14"",
  ""data_source"": ""平台API"",
  ""average_delivery_time"": 6,
  ""delivery_success_rate"": 93.4,
  ""logistics_cost"": 9.2,
  ""top_providers"": [
    ""J&T"",
    ""DHL"",
    ""FedEx""
  ],
  ""challenges"": [
    ""成本控制"",
    ""最后一公里"",
    ""时效性""
  ],
  ""last_updated"": ""2026-01-10"",
  ""confidence_level"": ""低"",
  ""data_points"": 343601
}","{""country_id"": 7, ""category_id"": 1, ""start_date"": ""2026-01-03"", ""end_date"": ""2026-01-10"", ""report_type"": ""aggregated"", ""data_freshness"": ""weekly""}",2023-01-17 10:37:01,2023-01-26 10:37:01
