indicator_id,country_id,year,quarter,indicator_type,indicator_value,unit,data_source,last_updated
1,10,2020,1,fdi_inflow,842500000.0,USD,World Bank,2020-05-27
2,9,2025,1,gdp_growth,7.1,percent,World Bank,2025-04-26
3,2,2012,,internet_penetration,25.0,percent,Internet World Stats,2013-05-21
4,5,2014,,population,5500000.0,people,UN Population Division,2015-04-21
5,4,2022,2,consumer_confidence,105,index,Nielsen,2022-08-30
6,2,2021,3,gdp_growth,5.5,percent,IMF,2021-12-03
7,5,2016,,ecommerce_gmv,1700000000.0,USD,Bain & Company,2017-05-22
8,7,2015,,population,16200000.0,people,National Statistical Office,2016-05-31
9,5,2025,3,export_growth,16.3,percent,UNCTAD,2025-12-05
10,9,2024,1,import_growth,16.1,percent,WTO,2024-06-04
11,3,2024,,ecommerce_gmv,12800000000.0,USD,Statista,2025-04-04
12,7,2021,1,unemployment,6.4,percent,World Bank,2021-04-26
13,9,2025,3,fdi_inflow,3700000000.0,USD,ASEAN Secretariat,2025-11-28
14,1,2023,,ecommerce_gmv,90900000000.0,USD,Google-Temasek,2024-04-27
15,4,2008,,population,27000000.0,people,UN Population Division,2009-06-29
16,2,2025,3,export_growth,7.8,percent,UNCTAD,2025-12-05
17,10,2021,1,consumer_confidence,81,index,Conference Board,2021-05-12
18,4,2020,2,consumer_confidence,55,index,Mastercard,2020-07-31
19,6,2023,,population,111700000.0,people,UN Population Division,2024-06-01
20,2,2018,,gdp_growth,7.7,percent,IMF,2019-05-10
21,6,2023,2,import_growth,0.0,percent,World Bank,2023-09-12
22,4,2024,4,retail_sales_growth,2.5,percent,Statista,2025-01-24
23,2,2025,,ecommerce_gmv,8800000000.0,USD,Bain & Company,2026-04-26
24,10,2022,1,import_growth,11.6,percent,UNCTAD,2022-05-23
25,6,2018,,gdp,256400000000.0,USD,World Bank,2019-05-14
26,2,2023,2,import_growth,8.1,percent,World Bank,2023-08-02
27,7,2025,,gdp_growth,8.1,percent,ADB,2026-05-24
28,8,2023,,internet_penetration,6.7,percent,ITU,2024-06-20
29,7,2008,,population,14000000.0,people,National Statistical Office,2009-05-17
30,3,2013,,ecommerce_gmv,737400000.0,USD,Bain & Company,2014-06-25
31,6,2025,1,gdp_growth,5.0,percent,World Bank,2025-06-08
32,2,2021,2,retail_sales_growth,5.6,percent,Euromonitor,2021-07-26
33,9,2022,1,gdp_growth,3.8,percent,IMF,2022-04-19
34,10,2022,,gdp,34900000000.0,USD,ADB,2023-05-24
35,6,2022,,gdp,291900000000.0,USD,World Bank,2023-05-30
36,10,2020,1,consumer_confidence,63,index,Mastercard,2020-06-05
37,1,2020,1,consumer_confidence,66,index,National Statistics,2020-06-03
38,10,2023,4,fdi_inflow,1300000000.0,USD,OECD,2024-01-26
39,2,2021,2,unemployment,5.0,percent,ILO,2021-07-21
40,10,2013,,ecommerce_gmv,77500000.0,USD,Statista,2014-04-17
41,6,2012,,population,97200000.0,people,World Bank,2013-05-13
42,1,2025,2,gdp_growth,2.8,percent,ADB,2025-08-23
43,3,2020,4,unemployment,5.1,percent,National Statistics,2021-01-24
44,4,2021,4,retail_sales_growth,11.0,percent,ASEANstats,2022-02-05
45,8,2024,2,gdp_growth,7.0,percent,IMF,2024-07-29
46,3,2014,,gdp_growth,6.4,percent,World Bank,2015-04-24
47,5,2008,,gdp_per_capita,37500,USD,IMF,2009-04-12
48,5,2022,2,import_growth,1.3,percent,World Bank,2022-08-13
49,9,2021,2,import_growth,4.2,percent,WTO,2021-07-26
50,6,2019,,gdp_growth,7.6,percent,IMF,2020-05-01
51,7,2021,4,export_growth,6.7,percent,WTO,2022-02-05
52,6,2011,,internet_penetration,21.3,percent,WeAreSocial,2012-04-20
53,3,2024,3,retail_sales_growth,9.3,percent,National Statistics,2024-11-25
54,8,2024,4,retail_sales_growth,12.4,percent,National Statistics,2025-02-14
55,7,2023,2,gdp_growth,7.0,percent,World Bank,2023-07-25
56,8,2020,,gdp_per_capita,1477,USD,World Bank,2021-04-16
57,6,2016,,gdp,287800000000.0,USD,ADB,2017-06-17
58,1,2020,2,export_growth,10.8,percent,UNCTAD,2020-08-14
59,4,2013,,ecommerce_gmv,2000000000.0,USD,Bain & Company,2014-06-06
60,3,2022,1,unemployment,5.5,percent,National Statistics,2022-05-20
61,7,2019,,ecommerce_gmv,113600000.0,USD,e-Conomy SEA,2020-05-21
62,5,2025,4,unemployment,7.9,percent,ILO,2026-01-18
63,10,2020,2,import_growth,9.0,percent,UNCTAD,2020-08-20
64,2,2018,,gdp,402700000000.0,USD,IMF,2019-04-27
65,6,2025,1,import_growth,14.7,percent,UNCTAD,2025-06-07
66,1,2013,,ecommerce_gmv,5100000000.0,USD,Google-Temasek,2014-04-22
67,5,2021,4,inflation,4.2,percent,World Bank,2022-02-24
68,3,2024,2,export_growth,15.5,percent,UNCTAD,2024-07-21
69,4,2022,1,fdi_inflow,17000000000.0,USD,World Bank,2022-06-05
70,9,2017,,population,55900000.0,people,National Statistical Office,2018-04-07
71,10,2012,,ecommerce_gmv,78500000.0,USD,Bain & Company,2013-04-08
72,3,2009,,gdp,96700000000.0,USD,ADB,2010-06-18
73,9,2022,2,gdp_growth,4.3,percent,ADB,2022-09-03
74,3,2025,3,retail_sales_growth,7.2,percent,Statista,2025-11-29
75,7,2016,,gdp_per_capita,1072,USD,IMF,2017-06-01
76,3,2021,1,gdp_growth,3.7,percent,IMF,2021-04-27
77,5,2009,,ecommerce_gmv,520800000.0,USD,Statista,2010-05-13
78,9,2021,3,gdp_growth,4.7,percent,IMF,2021-11-20
79,5,2014,,gdp_per_capita,47983,USD,World Bank,2015-04-09
80,2,2011,,gdp_per_capita,4732,USD,ADB,2012-06-07
81,10,2025,3,unemployment,7.6,percent,National Statistics,2025-10-21
82,5,2024,3,consumer_confidence,117,index,National Statistics,2024-11-08
83,2,2011,,internet_penetration,23.4,percent,ITU,2012-04-11
84,2,2011,,gdp_growth,6.6,percent,ADB,2012-04-20
85,4,2014,,gdp_growth,4.2,percent,ADB,2015-05-22
86,8,2025,3,export_growth,6.1,percent,UNCTAD,2025-11-15
87,3,2022,2,retail_sales_growth,3.7,percent,National Statistics,2022-08-19
88,4,2024,4,export_growth,4.1,percent,World Bank,2025-02-23
89,2,2025,4,export_growth,9.0,percent,UNCTAD,2026-03-13
90,1,2014,,population,257100000.0,people,National Statistical Office,2015-06-29
91,8,2015,,population,7000000.0,people,UN Population Division,2016-04-20
92,5,2024,4,unemployment,8.0,percent,ILO,2025-02-15
93,1,2008,,ecommerce_gmv,1200000000.0,USD,Google-Temasek,2009-06-26
94,10,2022,2,export_growth,-3.2,percent,WTO,2022-09-13
95,8,2025,3,fdi_inflow,653300000.0,USD,ASEAN Secretariat,2025-11-07
96,5,2013,,ecommerce_gmv,1200000000.0,USD,Google-Temasek,2014-04-17
97,5,2025,1,retail_sales_growth,13.9,percent,National Statistics,2025-05-03
98,6,2011,,gdp_per_capita,2019,USD,ADB,2012-05-22
99,2,2022,4,fdi_inflow,8800000000.0,USD,UNCTAD,2023-01-19
100,6,2023,1,unemployment,6.4,percent,ILO,2023-04-20
