provider_id,provider_name,service_type,countries_covered,contact_info,user_rating_avg,review_count,is_verified
1,Singapore 电商平台,ecommerce_platform,[5],"{""website"": ""https://www.电商平台singapore.co.sg"", ""email"": ""contact@电商平台singapore.co.sg"", ""phone"": ""+65263645765"", ""address"": ""Contact for detailed address information""}",4.8,775,True
2,TH Tax Consultants,accounting,[2],"{""website"": ""https://www.accountantsth.co.th"", ""email"": ""contact@accountantsth.co.th"", ""phone"": ""+66220950723"", ""address"": ""Contact for detailed address information""}",4.5,4357,True
3,Myanmar Corporate Legal,legal,[9],"{""website"": ""https://www.legalsolutionsmm-mm.com"", ""email"": ""contact@legalsolutionsmm-mm.com"", ""phone"": ""+95270540425"", ""address"": ""Contact for detailed address information""}",4.5,4743,True
4,LA Tax Consultants,accounting,[8],"{""website"": ""https://www.accountantsla-la.com"", ""email"": ""contact@accountantsla-la.com"", ""phone"": ""+856274316107"", ""address"": ""Contact for detailed address information""}",4.5,926,True
5,KH 支付网关 Solutions,payment_gateway,[7],"{""website"": ""https://www.stripe-kh.com"", ""email"": ""contact@stripe-kh.com"", ""phone"": ""+855286106865"", ""address"": ""Contact for detailed address information""}",4.3,429,False
6,Cambodia Fulfillment,fulfillment,[7],"{""website"": ""https://www.kh履单服务solutions-kh.com"", ""email"": ""contact@kh履单服务solutions-kh.com"", ""phone"": ""+855277184477"", ""address"": ""Contact for detailed address information""}",4.4,541,True
7,Southeast Asia Marketing Agency,marketing_agency,"[1, 2, 3, 4, 5, 6]","{""website"": ""https://www.southeastasiamarketingagency.com"", ""email"": ""contact@southeastasiamarketingagency.com"", ""phone"": ""+91463337126""}",4.7,7378,True
8,Philippines 电商平台,ecommerce_platform,[6],"{""website"": ""https://www.philippinesecommerceplatform.co.ph"", ""email"": ""contact@philippinesecommerceplatform.co.ph"", ""phone"": ""+63245551325"", ""address"": ""Contact for detailed address information""}",4.6,4030,False
9,ASEAN 支付网关,payment_gateway,"[1, 2, 4, 6, 8, 10]","{""website"": ""https://www.grabpay.world"", ""email"": ""info@grabpay.world"", ""phone"": ""+41464019640"", ""address"": ""Contact for detailed address information""}",4.5,3195,True
10,Worldwide 清关服务,customs_clearance,"[3, 5, 9]","{""website"": ""https://www.asean清关服务.com"", ""email"": ""info@asean清关服务.com"", ""phone"": ""+21657222734"", ""address"": ""Contact for detailed address information""}",4.4,549,True
11,VN Trade Solutions,customs_clearance,[3],"{""website"": ""https://www.vietnamcustomsagent.co.vn"", ""email"": ""contact@vietnamcustomsagent.co.vn"", ""phone"": ""+84288424731"", ""address"": ""Contact for detailed address information""}",4.4,939,False
12,Cambodia Cargo Solutions,logistics,[7],"{""website"": ""https://www.j&texpress-kh.com"", ""email"": ""contact@j&texpress-kh.com"", ""phone"": ""+855289834504"", ""address"": ""Contact for detailed address information""}",4.2,358,False
13,Laos Cargo Solutions,logistics,[8],"{""website"": ""https://www.laosfreightservices.co.la"", ""email"": ""contact@laosfreightservices.co.la"", ""phone"": ""+856229557603"", ""address"": ""Contact for detailed address information""}",4.2,668,False
