watchlist_id,user_id,item_type,item_target_id,notes,created_at
1,504,product,980,跟踪980销售情况,2023-01-01 01:58:05
2,354,category,运动户外,监测运动户外竞争格局,2023-01-01 07:00:40
3,432,country,马来西亚,马来西亚市场监控,2023-01-02 07:10:17
4,804,shop,149,跟踪149店铺评级,2023-01-02 16:25:41
5,186,keyword,jewelry,跟踪jewelry搜索趋势,2023-01-03 04:49:44
6,114,product,441,跟踪441销售情况,2023-01-03 17:32:29
7,543,keyword,jewelry,分析jewelry竞争情况,2023-01-03 20:51:30
8,939,shop,68,监测68店铺动态,2023-01-07 06:39:06
9,948,competitor,Dior公司,竞争对手Dior公司监控,2023-01-09 08:38:05
10,174,brand,Dior,分析Dior品牌策略,2023-01-11 13:46:16
11,222,competitor,Chanel公司,跟踪Chanel公司竞争动态,2023-01-13 12:02:12
12,732,country,菲律宾,菲律宾市场监控,2023-01-14 13:20:19
13,708,product,429,跟踪429销售情况,2023-01-14 21:00:35
14,72,keyword,fashion,监测fashion话题热度,2023-01-14 22:44:57
15,63,category,时尚服饰,时尚服饰品类市场分析,2023-01-15 13:39:04
16,507,brand,Apple,Apple品牌市场监控,2023-01-16 15:19:50
17,387,product,15,观察15市场竞争,2023-01-18 16:22:43
18,411,competitor,Wardah公司,分析Wardah公司市场策略,2023-01-20 07:05:07
19,807,shop,241,监测241店铺动态,2023-01-20 23:46:52
20,999,country,泰国,分析泰国消费趋势,2023-01-21 16:25:06
21,282,brand,Uniqlo,观察Uniqlo品牌影响力,2023-01-21 23:37:50
22,75,product,441,分析441促销活动,2023-01-22 05:17:14
23,756,brand,Estee Lauder,跟踪Estee Lauder品牌动态,2023-01-22 07:23:55
24,540,keyword,organic,跟踪organic搜索趋势,2023-01-23 12:36:11
25,21,category,运动户外,运动户外品类市场分析,2023-01-24 11:18:26
26,666,shop,302,跟踪302店铺评级,2023-01-26 21:14:04
27,60,competitor,Wardah店铺,分析Wardah店铺市场策略,2023-01-26 21:41:40
28,84,competitor,Samsung公司,监测Samsung公司产品线,2023-01-27 10:38:53
29,267,category,运动户外,分析运动户外市场规模,2023-01-27 23:07:45
30,792,keyword,makeup,分析makeup竞争情况,2023-01-28 17:14:05
31,630,competitor,Honda店铺,监测Honda店铺产品线,2023-02-01 19:01:40
32,378,country,缅甸,跟踪缅甸电商动态,2023-02-02 00:55:40
33,156,brand,L'Oreal,分析L'Oreal品牌策略,2023-02-03 06:38:25
34,828,shop,470,监测470店铺动态,2023-02-04 19:01:15
35,441,country,缅甸,缅甸市场监控,2023-02-07 16:43:09
36,765,country,印尼,印尼市场监控,2023-02-09 09:43:55
37,456,keyword,smart home,smart home关键词市场热度,2023-02-10 02:03:29
38,39,keyword,furniture,跟踪furniture搜索趋势,2023-02-10 13:06:37
39,159,shop,278,278官方店表现,2023-02-11 08:36:12
40,54,competitor,Honda店铺,跟踪Honda店铺竞争动态,2023-02-12 22:46:04
41,261,competitor,Gucci店铺,分析Gucci店铺市场策略,2023-02-14 00:05:23
42,432,category,图书文具,分析图书文具市场规模,2023-02-16 11:10:14
43,138,shop,82,监测82店铺动态,2023-02-16 16:14:44
44,294,product,763,监测763价格趋势,2023-02-18 22:46:08
45,894,category,美妆护肤,跟踪美妆护肤品类趋势,2023-02-19 21:05:44
46,711,brand,Mistine,Mistine品牌市场监控,2023-02-21 15:16:48
47,198,keyword,fashion,fashion关键词市场热度,2023-02-22 04:42:11
48,270,product,164,分析164促销活动,2023-02-25 02:16:42
49,870,category,运动户外,监测运动户外竞争格局,2023-02-25 12:52:01
50,255,brand,Estee Lauder,观察Estee Lauder品牌影响力,2023-02-25 18:34:32
51,12,country,柬埔寨,跟踪柬埔寨电商动态,2023-02-27 16:44:00
52,975,brand,Honda,分析Honda品牌策略,2023-02-27 22:18:10
53,564,shop,161,监测161店铺动态,2023-02-28 03:48:59
54,396,shop,142,跟踪142店铺评级,2023-03-01 12:11:29
55,168,brand,Sony,分析Sony品牌策略,2023-03-02 02:50:35
56,612,brand,Estee Lauder,Estee Lauder品牌市场监控,2023-03-03 01:45:23
57,522,shop,110,分析110运营策略,2023-03-03 05:48:27
58,93,shop,70,监测70店铺动态,2023-03-03 09:37:22
59,27,keyword,smart home,监测smart home话题热度,2023-03-03 22:07:04
60,963,country,马来西亚,马来西亚市场监控,2023-03-04 06:15:50
61,732,shop,6,跟踪6店铺评级,2023-03-08 15:54:58
62,906,shop,220,220官方店表现,2023-03-09 03:42:03
63,765,keyword,organic,分析organic竞争情况,2023-03-09 11:47:43
64,312,category,美妆护肤,分析美妆护肤市场规模,2023-03-09 15:15:22
65,162,brand,Sony,跟踪Sony品牌动态,2023-03-09 19:11:15
66,711,keyword,sports shoes,sports shoes关键词市场热度,2023-03-12 14:06:32
67,438,competitor,Mistine平台,监测Mistine平台产品线,2023-03-12 18:27:40
68,747,shop,196,分析196运营策略,2023-03-13 16:09:21
69,384,keyword,sustainable,跟踪sustainable搜索趋势,2023-03-14 03:58:10
70,291,country,马来西亚,马来西亚市场监控,2023-03-15 05:23:36
71,810,category,汽车配件,跟踪汽车配件品类趋势,2023-03-15 11:59:56
72,123,keyword,skincare,分析skincare竞争情况,2023-03-16 21:52:50
73,924,competitor,LV平台,竞争对手LV平台监控,2023-03-17 11:21:59
74,738,country,菲律宾,菲律宾市场监控,2023-03-19 00:35:41
75,654,product,757,监测757价格趋势,2023-03-19 01:11:05
76,615,shop,244,监测244店铺动态,2023-03-19 15:11:30
77,444,category,母婴用品,母婴用品品类市场分析,2023-03-20 05:23:57
78,177,shop,402,402官方店表现,2023-03-20 09:55:01
79,564,product,656,观察656市场竞争,2023-03-20 22:47:51
80,279,competitor,L'Oreal品牌,分析L'Oreal品牌市场策略,2023-03-24 16:42:22
81,345,product,100,分析100促销活动,2023-03-28 05:09:18
82,102,product,272,分析272促销活动,2023-03-28 06:48:24
83,258,shop,94,跟踪94店铺评级,2023-03-28 07:12:42
84,882,keyword,smartphone,监测smartphone话题热度,2023-04-01 12:40:17
85,750,country,马来西亚,监测马来西亚政策变化,2023-04-02 00:31:40
86,9,brand,Prada,观察Prada品牌影响力,2023-04-02 03:08:16
87,558,shop,482,监测482店铺动态,2023-04-02 20:36:34
88,495,country,马来西亚,马来西亚市场监控,2023-04-03 08:45:31
89,402,product,554,分析554促销活动,2023-04-05 00:04:27
90,261,country,老挝,分析老挝消费趋势,2023-04-06 14:10:11
91,876,product,854,分析854促销活动,2023-04-07 07:17:23
